,Headlines,date,,
3026,Here’s what to watch for in the Senate trial on Thursday.,2021-02-11,,
3027,"A day after their harrowing presentation, House managers will have 8 hours to conclude their arguments.",2021-02-11,,
3028,Catch up on Day 2 of the trial: Here are five takeaways.,2021-02-11,,
3029,Race and the pandemic: A Biden Covid-19 official discusses her goals.,2021-02-11,,
3030,Robert F. Kennedy Jr. is barred from Instagram over false coronavirus claims.,2021-02-11,,
3031,‘Race and Place Matter’: A Biden Adviser Tackles Coronavirus Inequities,2021-02-11,,
3032,Biden Wants More Stable Diplomacy. An Abortion Fight Is a Test.,2021-02-11,,
3040,Robert F. Kennedy Jr. is barred from Instagram over false coronavirus claims.,2021-02-11,,
3041,‘Race and Place Matter’: A Biden Adviser Tackles Coronavirus Inequities,2021-02-11,,
3042,Biden Wants More Stable Diplomacy. An Abortion Fight Is a Test.,2021-02-11,,
2877,"Inside a Nursing Home After the Vaccine: Joy, Relief and Game Night",2021-02-12,,
2878,Biden Reviving Effort to Empty Guantánamo Prison,2021-02-12,,
2879,Stacey Plaskett takes Trump’s lawyers to task for use of ‘clip after clip of Black women’ as part of the defense.,2021-02-12,,
2887,"Inside a Nursing Home After the Vaccine: Joy, Relief and Game Night",2021-02-12,,
2888,Biden Reviving Effort to Empty Guantánamo Prison,2021-02-12,,
2889,Stacey Plaskett takes Trump’s lawyers to task for use of ‘clip after clip of Black women’ as part of the defense.,2021-02-12,,
2890,Another First for an Impeachment Trial: Meeting During a Pandemic,2021-02-12,,
2891,"Under Pressure, California Church Postpones Conference for Thousands",2021-02-12,,
2892,For the Defense: Twisted Facts and Other Staples of the Trump Playbook,2021-02-12,,
2893,Lincoln Project Co-Founder Resigns From Board Amid a Deepening Crisis,2021-02-12,,
2894,Impeachment Briefing: A Combative Defense,2021-02-12,,
2895,"Trump’s Lawyers Deny He Incited Capitol Mob, Saying It’s Democrats Who Spur Violence",2021-02-12,,
2896,Trump’s Lawyers Repeated Inaccurate Claims in Impeachment Trial,2021-02-12,,
2897,"How Conservative Outlets Are Covering Impeachment, or Not",2021-02-12,,
2898,Takeaways From Day 4 of Trump’s Impeachment Trial,2021-02-12,,
2899,Coronavirus Briefing: What Happened Today,2021-02-12,,
2900,Another First for an Impeachment Trial: Meeting During a Pandemic,2021-02-12,,
2901,"Under Pressure, California Church Postpones Conference for Thousands",2021-02-12,,
2902,For the Defense: Twisted Facts and Other Staples of the Trump Playbook,2021-02-12,,
2903,Lincoln Project Co-Founder Resigns From Board Amid a Deepening Crisis,2021-02-12,,
2904,Impeachment Briefing: A Combative Defense,2021-02-12,,
2905,"Trump’s Lawyers Deny He Incited Capitol Mob, Saying It’s Democrats Who Spur Violence",2021-02-12,,
2906,Trump’s Lawyers Repeated Inaccurate Claims in Impeachment Trial,2021-02-12,,
2907,"How Conservative Outlets Are Covering Impeachment, or Not",2021-02-12,,
2908,Takeaways From Day 4 of Trump’s Impeachment Trial,2021-02-12,,
2909,Coronavirus Briefing: What Happened Today,2021-02-12,,
2910,Another First for an Impeachment Trial: Meeting During a Pandemic,2021-02-12,,
2911,"Under Pressure, California Church Postpones Conference for Thousands",2021-02-12,,
2912,For the Defense: Twisted Facts and Other Staples of the Trump Playbook,2021-02-12,,
2913,Lincoln Project Co-Founder Resigns From Board Amid a Deepening Crisis,2021-02-12,,
2914,Impeachment Briefing: A Combative Defense,2021-02-12,,
2915,"Trump’s Lawyers Deny He Incited Capitol Mob, Saying It’s Democrats Who Spur Violence",2021-02-12,,
2916,Trump’s Lawyers Repeated Inaccurate Claims in Impeachment Trial,2021-02-12,,
2917,"How Conservative Outlets Are Covering Impeachment, or Not",2021-02-12,,
2918,Takeaways From Day 4 of Trump’s Impeachment Trial,2021-02-12,,
2919,Coronavirus Briefing: What Happened Today,2021-02-12,,
2920,Republicans Seize on Shuttered Schools as a Political Rallying Cry,2021-02-12,,
2921,Driving in Winter? Tips From Experts on How to Arrive Safely,2021-02-12,,
2922,Three Men Are Accused in Scheme to Sell Covid-19 Vaccines,2021-02-12,,
2923,"Hey, Alexa, Are You Sexist?",2021-02-12,,
2924,Nikki Haley Slams Trump’s Election Claims: ‘We Shouldn’t Have Followed Him’,2021-02-12,,
2925,The C.D.C. Has New School Guidelines. Here’s What You Need to Know.,2021-02-12,,
2926,"U.S. Prepares to Lift Terrorist Designation Against Yemeni Rebels, Despite New Attacks",2021-02-12,,
2927,Biden Justice Dept. Asks British Court to Approve Extradition of Julian Assange,2021-02-12,,
2928,Grape-Nuts Expected to Be Back on Store Shelves Next Month,2021-02-12,,
2929,F.D.A. Agrees Moderna Can Increase Vaccine Supply in Each Vial,2021-02-12,,
2930,Republicans Seize on Shuttered Schools as a Political Rallying Cry,2021-02-12,,
2931,Driving in Winter? Tips From Experts on How to Arrive Safely,2021-02-12,,
2932,Three Men Are Accused in Scheme to Sell Covid-19 Vaccines,2021-02-12,,
2933,"Hey, Alexa, Are You Sexist?",2021-02-12,,
2934,Nikki Haley Slams Trump’s Election Claims: ‘We Shouldn’t Have Followed Him’,2021-02-12,,
2935,The C.D.C. Has New School Guidelines. Here’s What You Need to Know.,2021-02-12,,
2936,"U.S. Prepares to Lift Terrorist Designation Against Yemeni Rebels, Despite New Attacks",2021-02-12,,
2937,Biden Justice Dept. Asks British Court to Approve Extradition of Julian Assange,2021-02-12,,
2938,Grape-Nuts Expected to Be Back on Store Shelves Next Month,2021-02-12,,
2939,F.D.A. Agrees Moderna Can Increase Vaccine Supply in Each Vial,2021-02-12,,
2940,Catch up on Day 3 of the trial: Here are key takeaways.,2021-02-12,,
2941,"Will Massachusetts’s Vaccine Buddy System Work? Well, It’s Worth a Shot",2021-02-12,,
2942,What to watch for in the impeachment trial on Friday.,2021-02-12,,
2943,A Tense Lunar New Year for the Bay Area After Attacks on Asian-Americans,2021-02-12,,
2944,"After two days of the prosecution’s oral arguments, the trial now turns to Trump’s defense team.",2021-02-12,,
2945,Pharmacies move to the forefront of the U.S. vaccine campaign.,2021-02-12,,
2946,Supreme Court Rebuffs Alabama’s Effort to Bar Pastor From Execution Chamber,2021-02-12,,
2950,Catch up on Day 3 of the trial: Here are key takeaways.,2021-02-12,,
2951,"Will Massachusetts’s Vaccine Buddy System Work? Well, It’s Worth a Shot",2021-02-12,,
2952,What to watch for in the impeachment trial on Friday.,2021-02-12,,
2953,A Tense Lunar New Year for the Bay Area After Attacks on Asian-Americans,2021-02-12,,
2954,"After two days of the prosecution’s oral arguments, the trial now turns to Trump’s defense team.",2021-02-12,,
2955,Pharmacies move to the forefront of the U.S. vaccine campaign.,2021-02-12,,
2956,Supreme Court Rebuffs Alabama’s Effort to Bar Pastor From Execution Chamber,2021-02-12,,
2796,White House Press Aide Resigns Over Call to Reporter,2021-02-13,,
2797,"For Trump, an Escape, Not an Exoneration",2021-02-13,,
2798,"Storms Bring Punishing Cold, Snow and Ice From Coast to Coast",2021-02-13,,
2799,"McConnell, Denouncing Trump After Voting to Acquit, Says His Hands Were Tied",2021-02-13,,
2806,White House Press Aide Resigns Over Call to Reporter,2021-02-13,,
2807,"For Trump, an Escape, Not an Exoneration",2021-02-13,,
2808,"Storms Bring Punishing Cold, Snow and Ice From Coast to Coast",2021-02-13,,
2809,"McConnell, Denouncing Trump After Voting to Acquit, Says His Hands Were Tied",2021-02-13,,
2816,White House Press Aide Resigns Over Call to Reporter,2021-02-13,,
2817,"For Trump, an Escape, Not an Exoneration",2021-02-13,,
2818,"Storms Bring Punishing Cold, Snow and Ice From Coast to Coast",2021-02-13,,
2819,"McConnell, Denouncing Trump After Voting to Acquit, Says His Hands Were Tied",2021-02-13,,
2826,White House Press Aide Resigns Over Call to Reporter,2021-02-13,,
2827,"For Trump, an Escape, Not an Exoneration",2021-02-13,,
2828,"Storms Bring Punishing Cold, Snow and Ice From Coast to Coast",2021-02-13,,
2829,"McConnell, Denouncing Trump After Voting to Acquit, Says His Hands Were Tied",2021-02-13,,
2836,White House Press Aide Resigns Over Call to Reporter,2021-02-13,,
2837,"For Trump, an Escape, Not an Exoneration",2021-02-13,,
2838,"Storms Bring Punishing Cold, Snow and Ice From Coast to Coast",2021-02-13,,
2839,"McConnell, Denouncing Trump After Voting to Acquit, Says His Hands Were Tied",2021-02-13,,
2840,After the Speech: What Trump Did as the Capitol Was Attacked,2021-02-13,,
2841,Impeachment Briefing: The Senate Acquits Trump,2021-02-13,,
2842,Takeaways From Day 5 of Trump’s Impeachment Trial,2021-02-13,,
2843,Here are the seven Republicans who voted to convict Trump.,2021-02-13,,
2844,"J. Hillis Miller, 92, Dies; Helped Revolutionize Literary Studies",2021-02-13,,
2845,"A City’s Mayor, Police Chief and Clerk Face Misconduct Charges",2021-02-13,,
2846,Republican Acquittal of Trump Is a Pivotal Moment for the Party,2021-02-13,,
2847,One Legacy of Impeachment: The Most Complete Account So Far of Jan. 6,2021-02-13,,
2848,"As Impeachment Ends, Federal Inquiry Looms as Reminder of Trump’s Role in Riot",2021-02-13,,
2849,"Trump Acquitted of Inciting Insurrection, Even as Bipartisan Majority Votes ‘Guilty’",2021-02-13,,
2850,After the Speech: What Trump Did as the Capitol Was Attacked,2021-02-13,,
2851,Impeachment Briefing: The Senate Acquits Trump,2021-02-13,,
2852,Takeaways From Day 5 of Trump’s Impeachment Trial,2021-02-13,,
2853,Here are the seven Republicans who voted to convict Trump.,2021-02-13,,
2854,"J. Hillis Miller, 92, Dies; Helped Revolutionize Literary Studies",2021-02-13,,
2855,"A City’s Mayor, Police Chief and Clerk Face Misconduct Charges",2021-02-13,,
2856,Republican Acquittal of Trump Is a Pivotal Moment for the Party,2021-02-13,,
2857,One Legacy of Impeachment: The Most Complete Account So Far of Jan. 6,2021-02-13,,
2858,"As Impeachment Ends, Federal Inquiry Looms as Reminder of Trump’s Role in Riot",2021-02-13,,
2859,"Trump Acquitted of Inciting Insurrection, Even as Bipartisan Majority Votes ‘Guilty’",2021-02-13,,
2860,After the Speech: What Trump Did as the Capitol Was Attacked,2021-02-13,,
2861,Impeachment Briefing: The Senate Acquits Trump,2021-02-13,,
2862,Takeaways From Day 5 of Trump’s Impeachment Trial,2021-02-13,,
2863,Here are the seven Republicans who voted to convict Trump.,2021-02-13,,
2864,"J. Hillis Miller, 92, Dies; Helped Revolutionize Literary Studies",2021-02-13,,
2865,"A City’s Mayor, Police Chief and Clerk Face Misconduct Charges",2021-02-13,,
2866,Republican Acquittal of Trump Is a Pivotal Moment for the Party,2021-02-13,,
2867,One Legacy of Impeachment: The Most Complete Account So Far of Jan. 6,2021-02-13,,
2868,"As Impeachment Ends, Federal Inquiry Looms as Reminder of Trump’s Role in Riot",2021-02-13,,
2869,"Trump Acquitted of Inciting Insurrection, Even as Bipartisan Majority Votes ‘Guilty’",2021-02-13,,
2870,The Senate vote has begun.,2021-02-13,,
2871,Trump’s impeachment lawyers followed the Trump playbook.,2021-02-13,,
2872,"Here’s what happened on Friday, Day 4 of the trial.",2021-02-13,,
2873,"In Georgia, a New District Attorney Starts Circling Trump and His Allies",2021-02-13,,
2874,Why Biden’s Pick for Iran Envoy Is ‘a Proxy for Everything’,2021-02-13,,
2875,Donald Trump’s Impeachment Legacy: Violent Extremism,2021-02-13,,
2876,Herrera Beutler says McCarthy told her Trump sided with the Capitol mob as the assault unfolded.,2021-02-13,,
2880,The Senate vote has begun.,2021-02-13,,
2881,Trump’s impeachment lawyers followed the Trump playbook.,2021-02-13,,
2882,"Here’s what happened on Friday, Day 4 of the trial.",2021-02-13,,
2883,"In Georgia, a New District Attorney Starts Circling Trump and His Allies",2021-02-13,,
2884,Why Biden’s Pick for Iran Envoy Is ‘a Proxy for Everything’,2021-02-13,,
2885,Donald Trump’s Impeachment Legacy: Violent Extremism,2021-02-13,,
2886,Herrera Beutler says McCarthy told her Trump sided with the Capitol mob as the assault unfolded.,2021-02-13,,
2750,Biden Takes Center Stage With Ambitious Agenda as Trump’s Trial Ends,2021-02-14,,
2751,Why Seven Republican Senators Voted to Convict Trump,2021-02-14,,
2752,Calls Grow for Commission to Investigate Capitol Riot,2021-02-14,,
2753,Lara Trump for North Carolina Senate Seat? Trump’s Trial Is Renewing Talk,2021-02-14,,
2754,Chicago Mayor Lori Lightfoot on What She Learned From Battling the Teachers’ Union,2021-02-14,,
2755,Winter Storm Brings Icy Temperatures and Cuts Power Across U.S.,2021-02-14,,
2756,George Floyd Image With ‘You Take My Breath Away’ Prompts Internal Police Investigation,2021-02-14,,
2757,This is what we know about what Trump was doing from 1 p.m. to 6 p.m. on Jan. 6.,2021-02-14,,
2758,Here are a few takeaways from the final day of Trump’s impeachment trial.,2021-02-14,,
2759,Can New Orleans Celebrate Mardi Gras Without Reckless Abandon?,2021-02-14,,
2760,Biden Takes Center Stage With Ambitious Agenda as Trump’s Trial Ends,2021-02-14,,
2761,Why Seven Republican Senators Voted to Convict Trump,2021-02-14,,
2762,Calls Grow for Commission to Investigate Capitol Riot,2021-02-14,,
2763,Lara Trump for North Carolina Senate Seat? Trump’s Trial Is Renewing Talk,2021-02-14,,
2764,Chicago Mayor Lori Lightfoot on What She Learned From Battling the Teachers’ Union,2021-02-14,,
2765,Winter Storm Brings Icy Temperatures and Cuts Power Across U.S.,2021-02-14,,
2766,George Floyd Image With ‘You Take My Breath Away’ Prompts Internal Police Investigation,2021-02-14,,
2767,This is what we know about what Trump was doing from 1 p.m. to 6 p.m. on Jan. 6.,2021-02-14,,
2768,Here are a few takeaways from the final day of Trump’s impeachment trial.,2021-02-14,,
2769,Can New Orleans Celebrate Mardi Gras Without Reckless Abandon?,2021-02-14,,
2770,Biden Takes Center Stage With Ambitious Agenda as Trump’s Trial Ends,2021-02-14,,
2771,Why Seven Republican Senators Voted to Convict Trump,2021-02-14,,
2772,Calls Grow for Commission to Investigate Capitol Riot,2021-02-14,,
2773,Lara Trump for North Carolina Senate Seat? Trump’s Trial Is Renewing Talk,2021-02-14,,
2774,Chicago Mayor Lori Lightfoot on What She Learned From Battling the Teachers’ Union,2021-02-14,,
2775,Winter Storm Brings Icy Temperatures and Cuts Power Across U.S.,2021-02-14,,
2776,George Floyd Image With ‘You Take My Breath Away’ Prompts Internal Police Investigation,2021-02-14,,
2777,This is what we know about what Trump was doing from 1 p.m. to 6 p.m. on Jan. 6.,2021-02-14,,
2778,Here are a few takeaways from the final day of Trump’s impeachment trial.,2021-02-14,,
2779,Can New Orleans Celebrate Mardi Gras Without Reckless Abandon?,2021-02-14,,
2780,Biden Takes Center Stage With Ambitious Agenda as Trump’s Trial Ends,2021-02-14,,
2781,Why Seven Republican Senators Voted to Convict Trump,2021-02-14,,
2782,Calls Grow for Commission to Investigate Capitol Riot,2021-02-14,,
2783,Lara Trump for North Carolina Senate Seat? Trump’s Trial Is Renewing Talk,2021-02-14,,
2784,Chicago Mayor Lori Lightfoot on What She Learned From Battling the Teachers’ Union,2021-02-14,,
2785,Winter Storm Brings Icy Temperatures and Cuts Power Across U.S.,2021-02-14,,
2786,George Floyd Image With ‘You Take My Breath Away’ Prompts Internal Police Investigation,2021-02-14,,
2787,This is what we know about what Trump was doing from 1 p.m. to 6 p.m. on Jan. 6.,2021-02-14,,
2788,Here are a few takeaways from the final day of Trump’s impeachment trial.,2021-02-14,,
2789,Can New Orleans Celebrate Mardi Gras Without Reckless Abandon?,2021-02-14,,
2790,Richard Burr’s vote to convict the ex-president renews talk of a Lara Trump run in North Carolina.,2021-02-14,,
2791,‘This American Experiment Never Had Me in Mind’: Sterling K. Brown on Lincoln’s Legacy,2021-02-14,,
2792,The world reacts to Trump’s acquittal: ‘The U.S. remains in a precarious situation.’,2021-02-14,,
2793,Tom Perez on Democrats’ Mistakes and Why Iowa Shouldn’t Go First,2021-02-14,,
2794,‘Likely a Death Sentence’: Officials Fear Cold Weather Is Greater Risk for Homeless Than Virus,2021-02-14,,
2795,"A Year of Hardship, Helped and Hindered by Washington",2021-02-14,,
2800,Richard Burr’s vote to convict the ex-president renews talk of a Lara Trump run in North Carolina.,2021-02-14,,
2801,‘This American Experiment Never Had Me in Mind’: Sterling K. Brown on Lincoln’s Legacy,2021-02-14,,
2802,The world reacts to Trump’s acquittal: ‘The U.S. remains in a precarious situation.’,2021-02-14,,
2803,Tom Perez on Democrats’ Mistakes and Why Iowa Shouldn’t Go First,2021-02-14,,
2804,‘Likely a Death Sentence’: Officials Fear Cold Weather Is Greater Risk for Homeless Than Virus,2021-02-14,,
2805,"A Year of Hardship, Helped and Hindered by Washington",2021-02-14,,
2810,Richard Burr’s vote to convict the ex-president renews talk of a Lara Trump run in North Carolina.,2021-02-14,,
2811,‘This American Experiment Never Had Me in Mind’: Sterling K. Brown on Lincoln’s Legacy,2021-02-14,,
2812,The world reacts to Trump’s acquittal: ‘The U.S. remains in a precarious situation.’,2021-02-14,,
2813,Tom Perez on Democrats’ Mistakes and Why Iowa Shouldn’t Go First,2021-02-14,,
2814,‘Likely a Death Sentence’: Officials Fear Cold Weather Is Greater Risk for Homeless Than Virus,2021-02-14,,
2815,"A Year of Hardship, Helped and Hindered by Washington",2021-02-14,,
2820,Richard Burr’s vote to convict the ex-president renews talk of a Lara Trump run in North Carolina.,2021-02-14,,
2821,‘This American Experiment Never Had Me in Mind’: Sterling K. Brown on Lincoln’s Legacy,2021-02-14,,
2822,The world reacts to Trump’s acquittal: ‘The U.S. remains in a precarious situation.’,2021-02-14,,
2823,Tom Perez on Democrats’ Mistakes and Why Iowa Shouldn’t Go First,2021-02-14,,
2824,‘Likely a Death Sentence’: Officials Fear Cold Weather Is Greater Risk for Homeless Than Virus,2021-02-14,,
2825,"A Year of Hardship, Helped and Hindered by Washington",2021-02-14,,
2830,Richard Burr’s vote to convict the ex-president renews talk of a Lara Trump run in North Carolina.,2021-02-14,,
2831,‘This American Experiment Never Had Me in Mind’: Sterling K. Brown on Lincoln’s Legacy,2021-02-14,,
2832,The world reacts to Trump’s acquittal: ‘The U.S. remains in a precarious situation.’,2021-02-14,,
2833,Tom Perez on Democrats’ Mistakes and Why Iowa Shouldn’t Go First,2021-02-14,,
2834,‘Likely a Death Sentence’: Officials Fear Cold Weather Is Greater Risk for Homeless Than Virus,2021-02-14,,
2835,"A Year of Hardship, Helped and Hindered by Washington",2021-02-14,,
2692,Heavy snow forecast for the Great Lakes region of New York State.,2021-02-15,,
2693,The winter conditions paralyzed air and road travel across much of the South.,2021-02-15,,
2694,David Perdue Files to Run Against Raphael Warnock for Georgia Senate Seat,2021-02-15,,
2695,Scenes From a Winter That Is Overwhelming the U.S.,2021-02-15,,
2696,Pelosi Vows to Move Forward With Independent Inquiry Into Capitol Riot,2021-02-15,,
2697,"Icy Storm Barrels Across Central U.S., Leaving Millions Without Power",2021-02-15,,
2698,How Joe Neguse and Stacey Plaskett Plan to Wield Their Influence After Impeachment,2021-02-15,,
2699,"A Black Soldier’s Heroism, Overlooked in 1965, May Finally Be Lauded in 2021",2021-02-15,,
2702,Heavy snow forecast for the Great Lakes region of New York State.,2021-02-15,,
2703,The winter conditions paralyzed air and road travel across much of the South.,2021-02-15,,
2704,David Perdue Files to Run Against Raphael Warnock for Georgia Senate Seat,2021-02-15,,
2705,Scenes From a Winter That Is Overwhelming the U.S.,2021-02-15,,
2706,Pelosi Vows to Move Forward With Independent Inquiry Into Capitol Riot,2021-02-15,,
2707,"Icy Storm Barrels Across Central U.S., Leaving Millions Without Power",2021-02-15,,
2708,How Joe Neguse and Stacey Plaskett Plan to Wield Their Influence After Impeachment,2021-02-15,,
2709,"A Black Soldier’s Heroism, Overlooked in 1965, May Finally Be Lauded in 2021",2021-02-15,,
2710,Adam Kinzinger’s Lonely Mission,2021-02-15,,
2711,"Kathleen Ham, Who Met Her Rapist Twice in Court, Dies at 73",2021-02-15,,
2712,Utilities in 14 states are told to start rolling blackouts because of storm strains.,2021-02-15,,
2713,"In a Houston suburb, power failures are familiar. Crunching snow is not.",2021-02-15,,
2714,Frozen turbines and surging demand prompt rolling blackouts in Texas.,2021-02-15,,
2715,Auction Offers Lincoln’s Hair and Other Presidential Oddities,2021-02-15,,
2716,"Barbecue, cat pictures and snowball fights: Texans grapple with winter.",2021-02-15,,
2717,More than 3 million homes and businesses have lost power.,2021-02-15,,
2718,At least 150 million Americans are in the storm’s path.,2021-02-15,,
2719,Pennsylvania G.O.P.’s Push for More Power Over Judiciary Raises Alarms,2021-02-15,,
2720,Adam Kinzinger’s Lonely Mission,2021-02-15,,
2721,"Kathleen Ham, Who Met Her Rapist Twice in Court, Dies at 73",2021-02-15,,
2722,Utilities in 14 states are told to start rolling blackouts because of storm strains.,2021-02-15,,
2723,"In a Houston suburb, power failures are familiar. Crunching snow is not.",2021-02-15,,
2724,Frozen turbines and surging demand prompt rolling blackouts in Texas.,2021-02-15,,
2725,Auction Offers Lincoln’s Hair and Other Presidential Oddities,2021-02-15,,
2726,"Barbecue, cat pictures and snowball fights: Texans grapple with winter.",2021-02-15,,
2727,More than 3 million homes and businesses have lost power.,2021-02-15,,
2728,At least 150 million Americans are in the storm’s path.,2021-02-15,,
2729,Pennsylvania G.O.P.’s Push for More Power Over Judiciary Raises Alarms,2021-02-15,,
2730,Adam Kinzinger’s Lonely Mission,2021-02-15,,
2731,"Kathleen Ham, Who Met Her Rapist Twice in Court, Dies at 73",2021-02-15,,
2732,Utilities in 14 states are told to start rolling blackouts because of storm strains.,2021-02-15,,
2733,"In a Houston suburb, power failures are familiar. Crunching snow is not.",2021-02-15,,
2734,Frozen turbines and surging demand prompt rolling blackouts in Texas.,2021-02-15,,
2735,Auction Offers Lincoln’s Hair and Other Presidential Oddities,2021-02-15,,
2736,"Barbecue, cat pictures and snowball fights: Texans grapple with winter.",2021-02-15,,
2737,More than 3 million homes and businesses have lost power.,2021-02-15,,
2738,At least 150 million Americans are in the storm’s path.,2021-02-15,,
2739,Pennsylvania G.O.P.’s Push for More Power Over Judiciary Raises Alarms,2021-02-15,,
2740,Adam Kinzinger’s Lonely Mission,2021-02-15,,
2741,"Kathleen Ham, Who Met Her Rapist Twice in Court, Dies at 73",2021-02-15,,
2742,Utilities in 14 states are told to start rolling blackouts because of storm strains.,2021-02-15,,
2743,"In a Houston suburb, power failures are familiar. Crunching snow is not.",2021-02-15,,
2744,Frozen turbines and surging demand prompt rolling blackouts in Texas.,2021-02-15,,
2745,Auction Offers Lincoln’s Hair and Other Presidential Oddities,2021-02-15,,
2746,"Barbecue, cat pictures and snowball fights: Texans grapple with winter.",2021-02-15,,
2747,More than 3 million homes and businesses have lost power.,2021-02-15,,
2748,At least 150 million Americans are in the storm’s path.,2021-02-15,,
2749,Pennsylvania G.O.P.’s Push for More Power Over Judiciary Raises Alarms,2021-02-15,,
2592,Garbage Truck Driver Is Charged in California Fire That Killed 2,2021-02-16,,
2593,"Stumbles, Clashes and Egos: Behind the Scenes With Trump’s Legal Team",2021-02-16,,
2594,A ‘9/11 Commission’ for the Capitol Riot?,2021-02-16,,
2595,"L. Brent Bozell IV, son of a prominent conservative, is charged in Capitol riot.",2021-02-16,,
2596,"Through Chattering Teeth, Texans Criticize Extended Power Outages",2021-02-16,,
2597,Coronavirus Briefing: What Happened Today,2021-02-16,,
2598,"Trump, in Scorching Attack on McConnell, Urges G.O.P. to Replace Him",2021-02-16,,
2599,Technology Executive Apologizes After Dozens of Event Attendees Contract Covid-19,2021-02-16,,
2602,Garbage Truck Driver Is Charged in California Fire That Killed 2,2021-02-16,,
2603,"Stumbles, Clashes and Egos: Behind the Scenes With Trump’s Legal Team",2021-02-16,,
2604,A ‘9/11 Commission’ for the Capitol Riot?,2021-02-16,,
2605,"L. Brent Bozell IV, son of a prominent conservative, is charged in Capitol riot.",2021-02-16,,
2606,"Through Chattering Teeth, Texans Criticize Extended Power Outages",2021-02-16,,
2607,Coronavirus Briefing: What Happened Today,2021-02-16,,
2608,"Trump, in Scorching Attack on McConnell, Urges G.O.P. to Replace Him",2021-02-16,,
2609,Technology Executive Apologizes After Dozens of Event Attendees Contract Covid-19,2021-02-16,,
2612,Garbage Truck Driver Is Charged in California Fire That Killed 2,2021-02-16,,
2613,"Stumbles, Clashes and Egos: Behind the Scenes With Trump’s Legal Team",2021-02-16,,
2614,A ‘9/11 Commission’ for the Capitol Riot?,2021-02-16,,
2615,"L. Brent Bozell IV, son of a prominent conservative, is charged in Capitol riot.",2021-02-16,,
2616,"Through Chattering Teeth, Texans Criticize Extended Power Outages",2021-02-16,,
2617,Coronavirus Briefing: What Happened Today,2021-02-16,,
2618,"Trump, in Scorching Attack on McConnell, Urges G.O.P. to Replace Him",2021-02-16,,
2619,Technology Executive Apologizes After Dozens of Event Attendees Contract Covid-19,2021-02-16,,
2622,Garbage Truck Driver Is Charged in California Fire That Killed 2,2021-02-16,,
2623,"Stumbles, Clashes and Egos: Behind the Scenes With Trump’s Legal Team",2021-02-16,,
2624,A ‘9/11 Commission’ for the Capitol Riot?,2021-02-16,,
2625,"L. Brent Bozell IV, son of a prominent conservative, is charged in Capitol riot.",2021-02-16,,
2626,"Through Chattering Teeth, Texans Criticize Extended Power Outages",2021-02-16,,
2627,Coronavirus Briefing: What Happened Today,2021-02-16,,
2628,"Trump, in Scorching Attack on McConnell, Urges G.O.P. to Replace Him",2021-02-16,,
2629,Technology Executive Apologizes After Dozens of Event Attendees Contract Covid-19,2021-02-16,,
2630,"On Trump, Michigan Republicans Lean One Way: ‘Fealty at All Costs’",2021-02-16,,
2631,"George Conway, a Lincoln Project founder, backs shuttering the group amid a harassment crisis.",2021-02-16,,
2632,"Stay or Go? Biden, Long a Critic of Afghan Deployments, Faces a Deadline",2021-02-16,,
2633,Trying to stay warm? Here are some tips from experts.,2021-02-16,,
2634,Senate will hold a public inquiry into the security breaches in the Capitol riot.,2021-02-16,,
2635,Biden Works to Leverage Senate Ties to Power His Agenda,2021-02-16,,
2636,Hillary Clinton Thinks a White House Gender Council Is a Crucial ‘First Step’,2021-02-16,,
2637,The White House Is Taking Women’s Issues Seriously. Really.,2021-02-16,,
2638,At least 23 people have died in storm-related incidents.,2021-02-16,,
2639,Nebraskans wake up to -31 degrees and rolling blackouts.,2021-02-16,,
2640,"On Trump, Michigan Republicans Lean One Way: ‘Fealty at All Costs’",2021-02-16,,
2641,"George Conway, a Lincoln Project founder, backs shuttering the group amid a harassment crisis.",2021-02-16,,
2642,"Stay or Go? Biden, Long a Critic of Afghan Deployments, Faces a Deadline",2021-02-16,,
2643,Trying to stay warm? Here are some tips from experts.,2021-02-16,,
2644,Senate will hold a public inquiry into the security breaches in the Capitol riot.,2021-02-16,,
2645,Biden Works to Leverage Senate Ties to Power His Agenda,2021-02-16,,
2646,Hillary Clinton Thinks a White House Gender Council Is a Crucial ‘First Step’,2021-02-16,,
2647,The White House Is Taking Women’s Issues Seriously. Really.,2021-02-16,,
2648,At least 23 people have died in storm-related incidents.,2021-02-16,,
2649,Nebraskans wake up to -31 degrees and rolling blackouts.,2021-02-16,,
2650,"On Trump, Michigan Republicans Lean One Way: ‘Fealty at All Costs’",2021-02-16,,
2651,"George Conway, a Lincoln Project founder, backs shuttering the group amid a harassment crisis.",2021-02-16,,
2652,"Stay or Go? Biden, Long a Critic of Afghan Deployments, Faces a Deadline",2021-02-16,,
2653,Trying to stay warm? Here are some tips from experts.,2021-02-16,,
2654,Senate will hold a public inquiry into the security breaches in the Capitol riot.,2021-02-16,,
2655,Biden Works to Leverage Senate Ties to Power His Agenda,2021-02-16,,
2656,Hillary Clinton Thinks a White House Gender Council Is a Crucial ‘First Step’,2021-02-16,,
2657,The White House Is Taking Women’s Issues Seriously. Really.,2021-02-16,,
2658,At least 23 people have died in storm-related incidents.,2021-02-16,,
2659,Nebraskans wake up to -31 degrees and rolling blackouts.,2021-02-16,,
2660,The House moves to finalize the next coronavirus stimulus package by end of next week.,2021-02-16,,
2661,Here’s the latest forecast for winter weather across the country.,2021-02-16,,
